Date,Close/Last,Volume,Open,High,Low,Days
05/09/2023,169.15,"88,965,040.00",168.95,169.82,166.56,914
05/08/2023,171.79,"112,249,400.00",173.72,173.80,169.19,913
05/05/2023,170.06,"107,607,300.00",163.97,170.79,163.51,912
05/04/2023,161.20,"95,108,490.00",162.71,162.95,159.65,911
05/03/2023,160.61,"119,728,000.00",160.01,165.00,159.91,910
05/02/2023,160.31,"128,259,700.00",161.88,165.49,158.93,909
05/01/2023,161.83,"109,015,000.00",163.17,163.28,158.83,908
04/28/2023,164.31,"122,515,800.00",160.90,165.00,157.32,907
04/27/2023,160.19,"127,015,200.00",152.64,160.48,152.37,906
04/26/2023,153.75,"153,364,100.00",160.29,160.67,153.14,905
04/25/2023,160.67,"121,999,300.00",159.82,163.47,158.75,904
04/24/2023,162.55,"140,006,600.00",164.65,165.65,158.61,903
04/21/2023,165.08,"123,539,000.00",164.80,166.00,161.32,902
04/20/2023,162.99,"210,970,800.00",166.17,169.70,160.56,901
04/19/2023,180.59,"125,732,700.00",179.10,183.50,177.65,900
04/18/2023,184.31,"92,067,020.00",187.15,187.69,183.58,899
04/17/2023,187.04,"116,662,200.00",186.32,189.69,182.69,898
04/14/2023,185.00,"96,438,660.00",183.95,186.28,182.01,897
04/13/2023,185.90,"112,933,000.00",182.96,186.50,180.94,896
04/12/2023,180.54,"150,256,300.00",190.74,191.58,180.31,895
04/11/2023,186.79,"115,770,900.00",186.69,189.19,185.65,894
04/10/2023,184.51,"142,154,600.00",179.94,185.10,176.11,893
04/06/2023,185.06,"123,857,900.00",183.08,186.39,179.74,892
04/05/2023,185.52,"133,882,500.00",190.52,190.68,183.76,891
04/04/2023,192.58,"126,463,800.00",197.32,198.74,190.32,890
04/03/2023,194.77,"169,545,900.00",199.91,202.69,192.20,889
03/31/2023,207.46,"170,222,100.00",197.53,207.79,197.20,888
03/30/2023,195.28,"110,252,200.00",195.58,197.33,194.42,887
03/29/2023,193.88,"123,660,000.00",193.13,195.29,189.44,886
03/28/2023,189.19,"98,654,640.00",192.00,192.35,185.43,885
03/27/2023,191.81,"120,851,600.00",194.42,197.39,189.94,884
03/24/2023,190.41,"116,531,600.00",191.65,192.36,187.15,883
03/23/2023,192.22,"144,193,900.00",195.26,199.31,188.65,882
03/22/2023,191.15,"150,376,400.00",199.30,200.66,190.95,881
03/21/2023,197.58,"153,391,400.00",188.28,198.00,188.04,880
